ID;CLIENTES POTENC;SUCURSAL;PRODUCTOS;ARTICULOS VISIBLES;ACCESO;PUERTAS;SEGMENTO
3248;1;10;29;45;NO;0;C
3249;1;65;396;735;NO;2;A
3250;3;38;205;496;NO;6;A
3251;1;19;77;111;NO;0;C
3252;3;13;45;71;NO;2;C
3253;2;19;34;36;NO;2;C
3254;2;21;65;104;NO;1;C
3255;1;33;114;116;NO;2;A
3256;1;26;37;21;NO;0;C
3257;2;12;28;32;NO;2;C
3258;2;20;96;227;NO;4;B
3259;4;42;237;753;NO;4;A
3260;1;33;113;176;NO;0;C
3261;3;40;113;143;NO;2;B
3262;1;27;106;258;NO;2;C
3263;2;21;71;179;NO;1;B
3264;4;16;71;64;NO;3;B
3265;2;24;84;136;NO;2;B
3266;2;32;179;477;NO;1;A
3267;4;49;310;1018;NO;2;A
3268;1;59;378;1011;NO;3;A
3269;2;8;45;58;NO;2;C
3270;3;45;186;241;NO;1;B
3271;3;16;78;110;NO;2;C
3272;3;24;114;170;NO;4;B
3273;2;26;77;94;NO;2;C
3274;1;18;71;99;NO;0;C
3275;4;38;268;416;NO;5;A
3276;2;45;244;428;NO;4;A
3277;2;52;197;211;NO;1;A
3278;3;30;71;95;NO;3;C
3279;2;9;29;35;NO;4;C
3280;3;27;122;242;NO;2;B
3281;0;8;12;5;NO;0;C
3282;1;17;52;47;NO;0;C
3283;3;8;23;40;NO;4;C
3284;1;11;47;110;NO;0;C
3285;1;17;37;34;NO;0;C
3286;4;22;102;160;NO;1;B
3287;2;25;87;112;NO;3;C
3288;1;15;69;85;NO;0;C
3289;4;21;88;97;NO;4;B
3290;2;35;153;301;NO;2;A
3291;4;8;23;30;NO;0;B
3292;0;33;83;102;NO;0;C
3293;2;37;197;424;NO;6;A
3294;2;38;170;336;NO;1;A
3295;2;39;153;148;NO;0;B
3296;4;38;209;497;NO;2;A
3297;1;35;191;222;NO;0;C
3298;3;15;92;172;NO;3;B
3299;4;41;214;423;NO;3;A
3300;5;40;216;537;NO;9;A
3301;1;4;10;12;NO;1;C
3302;3;40;131;144;NO;4;B
3303;1;38;157;286;NO;0;C
3304;4;37;172;259;NO;3;B
3305;1;19;83;78;NO;2;C
3306;3;38;232;349;NO;7;A
3307;4;39;230;387;NO;3;A
3308;1;19;46;41;NO;2;C
3309;4;33;155;234;NO;6;B
3310;2;32;200;312;NO;4;A
3311;1;28;151;197;NO;0;C
3312;4;39;139;128;NO;3;B
3313;5;27;148;327;NO;11;B
3314;3;31;174;206;NO;6;B
3315;4;29;140;391;NO;2;B
3316;1;20;74;70;NO;0;C
3317;1;37;268;420;NO;3;A
3318;3;39;241;321;NO;2;A
3319;3;42;260;352;NO;2;A
3320;0;4;14;19;NO;0;C
3321;0;15;46;67;NO;0;C
3322;4;43;325;623;NO;5;A
3323;2;58;386;638;NO;1;A
3324;4;38;261;482;NO;3;A
3325;2;42;135;226;NO;6;A
3326;3;33;127;206;NO;4;B
3327;2;46;271;353;NO;2;A
3328;3;44;251;412;NO;2;A
3329;2;21;65;113;NO;1;C
3330;5;36;185;351;NO;6;B
3331;1;13;53;109;NO;2;C
3332;1;20;71;142;NO;1;C
3333;3;19;68;114;NO;2;C
3334;2;31;156;279;NO;0;B
3335;3;13;43;63;NO;2;C
3336;5;29;159;264;NO;5;B
3337;3;34;139;156;NO;7;B
3338;3;28;121;192;NO;5;B
3339;5;31;217;462;NO;12;A
3340;2;34;215;374;NO;3;A
3341;4;21;115;157;NO;4;B
3342;4;40;187;334;NO;2;B
3343;1;20;64;86;NO;4;C
3344;0;8;19;15;NO;0;C
3345;0;6;7;26;NO;0;C
3346;3;56;376;718;NO;3;A
3347;2;23;73;62;NO;1;C
3348;4;35;184;293;NO;3;B
3349;4;36;189;340;NO;2;B
3350;4;51;327;569;NO;2;A
3351;2;45;250;425;NO;1;A
3352;3;30;124;234;NO;2;B
3353;1;22;88;156;NO;1;C
3354;2;18;64;116;NO;0;C
3355;2;25;122;137;NO;1;A
3356;1;20;128;246;NO;0;C
3357;3;29;236;424;NO;3;A
3358;11;30;145;185;NO;4;B
3359;1;25;97;233;NO;1;C
3360;5;49;205;428;NO;6;A
3361;3;36;154;255;NO;2;B
3362;2;25;90;71;NO;2;B
3363;1;19;80;95;NO;3;C
3364;1;28;110;98;NO;0;C
3365;2;38;201;337;NO;4;A
3366;2;39;190;273;NO;2;A
3367;4;47;312;659;NO;4;A
3368;1;15;69;98;NO;0;C
3369;2;29;176;281;NO;0;B
3370;2;31;170;360;NO;4;A
3371;0;19;83;99;NO;0;C
3372;2;37;271;484;NO;2;A
3373;3;20;107;153;NO;2;B
3374;3;34;170;416;NO;1;B
3375;3;34;175;236;NO;2;B
3376;2;20;119;130;NO;1;A
3377;1;35;214;313;NO;2;A
3378;2;29;143;160;NO;4;A
3379;1;27;79;265;NO;1;C
3380;2;27;94;280;NO;1;B
3381;4;31;155;192;NO;5;B
3382;2;12;50;49;NO;1;C
3383;3;26;112;125;NO;1;B
3384;1;31;122;217;NO;1;A
3385;4;26;154;297;NO;5;B
3386;1;26;142;178;NO;2;A
3387;3;37;235;358;NO;4;A
3388;1;31;112;131;NO;0;C
3389;2;34;185;319;NO;2;A
3390;4;39;231;412;NO;2;A
3391;3;28;177;335;NO;5;B
3392;1;23;76;130;NO;2;C
3393;3;29;91;130;NO;6;B
3394;2;40;262;458;NO;6;A
3395;3;17;87;152;NO;4;B
3396;3;39;256;432;NO;3;A
3397;4;31;191;320;NO;2;B
3398;3;22;90;84;NO;2;B
3399;2;30;171;200;NO;2;A
3400;3;38;224;298;NO;3;A
3401;2;36;159;334;NO;1;A
3402;4;44;234;609;NO;4;A
3403;3;43;239;693;NO;6;A
3404;3;39;238;338;NO;6;A
3405;1;29;119;227;NO;2;A
3406;3;42;192;280;NO;2;B
3407;1;6;23;28;NO;1;C
3408;3;37;252;368;NO;5;A
3409;2;11;52;72;NO;1;C
3410;3;38;245;309;NO;2;A
3411;3;46;290;495;NO;5;A
3412;1;3;7;11;NO;2;C
3413;3;22;126;402;NO;3;B
3414;3;19;68;154;NO;2;B
3415;2;40;156;191;NO;4;A
3416;3;32;153;166;NO;3;B
3417;2;36;226;369;NO;2;A
3418;4;39;208;513;NO;3;A
3419;1;10;23;33;NO;0;C
3420;2;55;273;705;NO;2;A
3421;3;33;171;189;NO;3;B
3422;5;46;253;456;NO;9;A
3423;3;34;172;228;NO;3;B
3424;4;32;153;157;NO;6;B
3425;1;27;98;97;NO;0;C
3426;3;33;148;240;NO;3;B
3427;2;25;146;244;NO;1;A
3428;2;29;176;303;NO;4;A
3429;1;26;101;128;NO;1;C
3430;1;12;30;19;NO;0;C
3431;2;33;147;170;NO;3;A
3432;1;25;105;125;NO;4;C
3433;2;25;90;70;NO;0;B
3434;3;37;143;207;NO;7;B
3435;3;38;100;130;NO;2;B
3436;3;34;163;226;NO;7;B
3437;4;24;99;119;NO;5;B
3438;3;15;60;142;NO;2;B
3439;1;27;113;80;NO;0;C
3440;4;19;96;202;NO;5;B
3441;1;45;299;438;NO;0;C
3442;2;19;91;97;NO;0;B
3443;2;21;75;83;NO;1;C
3444;1;26;136;149;NO;0;C
3445;1;27;134;183;NO;2;A
3446;3;13;43;46;NO;2;C
3447;2;47;302;453;NO;3;A
3448;4;50;308;466;NO;7;A
3449;1;8;24;34;NO;0;C
3450;3;17;98;176;NO;4;B
3451;5;28;128;242;NO;5;B
3452;1;28;134;169;NO;1;A
3453;0;13;30;41;NO;0;C
3454;0;4;9;9;NO;0;C
3455;2;16;33;27;NO;1;C
3456;6;44;221;249;NO;8;A
3457;3;26;144;193;NO;6;B
3458;1;40;177;289;NO;0;C
3459;1;17;35;44;NO;0;C
3460;3;18;93;104;NO;2;B
3461;3;31;149;153;NO;2;B
3462;3;26;107;100;NO;6;B
3463;6;32;141;128;NO;2;B
3464;1;33;112;134;NO;1;A
3465;1;5;15;45;NO;0;C
3466;6;28;182;243;NO;5;B
3467;3;25;145;368;NO;0;B
3468;1;13;51;115;NO;0;C
3469;1;40;234;407;NO;3;A
3470;4;56;380;985;NO;11;A
3471;0;26;68;103;NO;0;C
3472;3;27;131;635;NO;1;B
3473;2;26;106;267;NO;1;B
3474;3;19;58;93;NO;1;C
3475;3;30;147;200;NO;0;B
3476;1;10;56;51;NO;0;C
3477;1;30;137;201;NO;3;A
3478;2;32;209;322;NO;2;A
3479;1;26;44;40;NO;1;C
3480;4;33;197;413;NO;7;B
3481;3;18;70;177;NO;2;B
3482;2;31;120;276;NO;3;A
3483;1;13;93;123;NO;2;C
3484;4;67;427;1370;NO;8;A
3485;1;16;81;200;NO;0;C
3486;1;6;20;33;NO;1;C
3487;3;26;136;229;NO;4;B
3488;3;16;89;162;NO;1;B
3489;4;31;146;234;NO;3;B
3490;2;15;52;144;NO;4;B
3491;2;26;156;201;NO;2;A
3492;1;17;77;102;NO;0;C
3493;1;9;29;36;NO;1;C
3494;2;15;91;151;NO;5;B
3495;1;19;79;107;NO;0;C
3496;2;26;115;150;NO;3;A
3497;3;13;51;60;NO;1;C
3498;1;23;108;162;NO;0;C
3499;0;2;5;12;NO;0;C
3500;2;22;70;66;NO;1;C
3501;1;17;65;81;NO;0;C
3502;3;8;28;22;NO;3;C
3503;3;53;359;975;NO;3;A
3504;2;53;218;711;NO;1;A
3505;1;9;25;28;NO;0;C
3506;3;13;59;170;NO;1;B
3507;3;47;247;604;NO;4;A
3508;2;25;89;159;NO;2;B
3509;1;29;121;222;NO;0;C
3510;3;26;90;124;NO;2;B
3511;1;11;48;73;NO;0;C
3512;3;25;80;72;NO;7;C
3513;3;40;192;269;NO;6;B
3514;3;31;145;203;NO;3;B
3515;2;19;71;96;NO;2;C
3516;1;11;20;15;NO;0;C
3517;2;11;32;32;NO;1;C
3518;1;16;46;54;NO;2;C
3519;3;17;65;58;NO;2;C
3520;1;29;113;240;NO;2;A
3521;3;30;77;147;NO;2;B
3522;1;14;42;40;NO;1;C
3523;1;11;31;22;NO;1;C
3524;3;23;85;146;NO;3;B
3525;3;64;365;741;NO;2;A
3526;3;24;99;121;NO;7;B
3527;2;21;66;62;NO;1;C
3528;2;23;130;349;NO;1;A
3529;2;16;34;40;NO;4;C
3530;6;29;153;162;NO;6;B
3531;4;66;422;1004;NO;7;A
3532;1;15;72;107;NO;0;C
3533;2;17;90;89;NO;1;B
3534;1;46;312;463;NO;0;C
3535;3;20;78;140;NO;2;B
3536;5;48;313;445;NO;3;A
3537;2;8;39;49;NO;1;C
3538;1;65;337;388;NO;0;C
3539;4;42;185;205;NO;9;B
3540;2;42;272;373;NO;3;A
3541;3;45;325;607;NO;4;A
3542;4;31;130;154;NO;1;B
3543;3;33;141;356;NO;2;B
3544;3;34;203;274;NO;3;A
3545;3;24;137;366;NO;2;B
3546;3;54;368;973;NO;3;A
3547;2;9;20;26;NO;0;C
3548;3;28;142;344;NO;1;B
3549;1;14;47;92;NO;0;C
3550;1;10;28;38;NO;0;C
3551;3;56;350;993;NO;2;A
3552;3;17;74;106;NO;2;C
3553;2;12;49;152;NO;2;B
3554;2;26;122;277;NO;0;B
3555;2;25;106;125;NO;3;B
3556;1;10;44;138;NO;1;C
3557;1;25;109;158;NO;0;C
3558;3;27;118;129;NO;1;B
3559;4;34;117;176;NO;4;B
3560;2;24;125;144;NO;1;A
3561;0;31;111;123;NO;0;C
3562;1;21;99;114;NO;0;C
3563;2;36;86;82;NO;2;C
3564;3;36;182;172;NO;3;B
3565;3;31;127;207;NO;7;B
3566;1;13;40;56;NO;3;C
3567;2;32;166;203;NO;2;A
3568;2;23;99;174;NO;0;B
3569;1;62;385;772;NO;2;A
3570;1;18;71;145;NO;0;C
3571;3;37;164;200;NO;2;B
3572;2;11;36;128;NO;2;B
3573;4;29;169;206;NO;7;B
3574;3;40;178;219;NO;3;B
3575;2;32;128;135;NO;0;B
3576;1;29;103;98;NO;2;C
3577;3;16;80;159;NO;1;B
3578;1;7;20;39;NO;1;C
3579;5;48;252;348;NO;8;A
3580;4;48;279;360;NO;5;A
3581;2;13;33;45;NO;2;C
3582;2;41;185;252;NO;1;A
3583;2;30;121;120;NO;4;A
3584;2;14;52;67;NO;0;C
3585;3;27;148;175;NO;3;B
3586;1;11;35;38;NO;1;C
3587;2;17;92;216;NO;1;B
3588;3;37;168;158;NO;1;B
3589;3;16;77;105;NO;2;C
3590;3;36;222;295;NO;4;A
3591;2;10;41;65;NO;1;C
3592;2;29;243;462;NO;2;A
3593;4;28;141;326;NO;4;B
3594;3;33;190;372;NO;0;B
3595;2;35;212;327;NO;2;A
3596;2;12;38;46;NO;1;C
3597;3;41;174;205;NO;1;B
3598;2;32;144;425;NO;5;A
3599;1;17;42;37;NO;4;C
3600;3;60;416;1074;NO;2;A
3601;4;31;157;369;NO;2;B
3602;2;9;39;53;NO;2;C
3603;1;16;66;95;NO;0;C
3604;4;38;272;538;NO;6;A
3605;1;10;26;24;NO;0;C
3606;4;42;207;275;NO;3;A
3607;9;47;284;352;NO;16;A
3608;5;45;200;225;NO;6;B
3609;2;10;35;48;NO;1;C
3610;4;29;85;126;NO;4;B
3611;1;21;68;82;NO;0;C
3612;6;37;154;266;NO;7;B
3613;4;11;35;122;NO;8;B
3614;4;24;155;305;NO;5;B
3615;1;31;122;139;NO;0;C
3616;1;22;69;185;NO;0;C
3617;1;14;33;32;NO;0;C
3618;2;25;145;456;NO;4;A
3619;4;27;107;192;NO;4;B
3620;7;44;286;418;NO;11;A
3621;2;18;57;189;NO;0;B
3622;1;27;108;251;NO;0;C
3623;5;43;255;434;NO;4;A
3624;1;24;98;215;NO;0;C
3625;3;36;206;243;NO;0;B
3626;4;43;309;755;NO;5;A
3627;0;29;79;101;NO;0;C
3628;3;41;309;432;NO;6;A
3629;2;38;175;203;NO;5;A
3630;4;29;164;173;NO;2;B
3631;2;20;83;98;NO;4;C
3632;1;8;38;42;NO;0;C
3633;3;33;133;183;NO;0;B
3634;3;26;108;136;NO;5;B
3635;1;26;106;222;NO;2;C
3636;2;13;38;29;NO;1;C
3637;3;21;113;131;NO;2;B
3638;2;31;182;232;NO;2;A
3639;1;24;111;120;NO;0;C
3640;5;42;250;324;NO;7;A
3641;3;35;221;355;NO;10;A
3642;5;40;186;658;NO;5;B
3643;3;28;140;214;NO;1;B
3644;5;32;147;194;NO;4;B
3645;5;24;115;157;NO;6;B
3646;4;32;161;184;NO;4;B
3647;3;11;67;214;NO;3;B
3648;2;21;88;164;NO;5;B
3649;3;13;41;54;NO;2;C
3650;1;15;60;175;NO;2;C
3651;6;36;162;167;NO;6;B
3652;2;25;102;305;NO;2;B
3653;1;19;32;19;NO;0;C
3654;1;17;85;112;NO;0;C
3655;2;32;106;121;NO;2;B
3656;3;27;124;184;NO;4;B
3657;1;15;39;44;NO;0;C
3658;6;31;149;202;NO;3;B
3659;3;19;93;134;NO;3;B
3660;3;21;69;60;NO;3;C
3661;5;28;151;307;NO;3;B
3662;2;27;132;158;NO;2;A
3663;1;26;129;236;NO;1;A
3664;4;29;130;127;NO;3;B
3665;1;18;51;33;NO;2;C
3666;2;28;147;210;NO;2;A
3667;5;29;163;237;NO;9;B
3668;2;28;137;191;NO;2;A
3669;2;32;216;278;NO;2;A
3670;3;26;106;120;NO;3;B
3671;1;24;86;136;NO;0;C
3672;3;28;92;106;NO;2;B
3673;6;38;223;373;NO;7;A
3674;1;18;77;144;NO;0;C
3675;5;42;268;413;NO;6;A
3676;6;39;266;467;NO;11;A
3677;3;44;309;545;NO;2;A
3678;3;41;265;429;NO;1;A
3679;1;20;86;146;NO;3;C
3680;3;10;58;50;NO;1;C
3681;2;15;52;108;NO;1;C
3682;1;28;63;82;NO;0;C
3683;4;33;206;271;NO;5;A
3684;2;36;212;254;NO;3;A
3685;1;17;84;144;NO;0;C
3686;2;15;100;151;NO;1;B
3687;5;23;106;120;NO;6;B
3688;2;23;86;98;NO;2;C
3689;4;50;346;532;NO;4;A
3690;2;19;70;76;NO;1;C
3691;3;29;145;170;NO;5;B
3692;2;30;129;189;NO;2;A
3693;2;31;109;242;NO;1;B
3694;3;39;258;397;NO;5;A
3695;2;14;42;76;NO;3;C
3696;3;26;123;290;NO;3;B
3697;2;20;72;74;NO;1;C
3698;1;5;17;23;NO;0;C
3699;1;28;128;328;NO;2;A
3700;4;28;129;195;NO;3;B
3701;0;10;25;25;NO;0;C
3702;2;41;228;307;NO;1;A
3703;1;24;74;70;NO;0;C
3704;2;42;174;170;NO;4;A
3705;4;34;154;139;NO;3;B
3706;1;24;68;77;NO;0;C
3707;1;45;222;642;NO;2;A
3708;3;29;128;285;NO;4;B
3709;4;42;301;582;NO;8;A
3710;3;14;91;197;NO;4;B
3711;3;26;85;111;NO;3;C
3712;2;38;219;439;NO;1;A
3713;1;7;19;57;NO;1;C
3714;5;31;240;341;NO;7;A
3715;5;29;108;174;NO;3;B
3716;4;41;276;410;NO;9;A
3717;2;13;36;170;NO;1;B
3718;2;19;57;126;NO;4;B
3719;3;35;202;585;NO;6;A
3720;4;46;282;433;NO;8;A
3721;5;37;251;410;NO;6;A
3722;4;43;254;351;NO;6;A
3723;3;29;159;409;NO;2;B
3724;2;41;128;180;NO;3;A
3725;4;32;157;160;NO;4;B
3726;2;13;81;123;NO;1;C
3727;3;31;142;273;NO;3;B
3728;3;26;111;164;NO;7;B
3729;2;27;95;102;NO;2;B
3730;3;15;84;312;NO;3;B
3731;2;17;103;228;NO;2;B
3732;2;13;45;133;NO;2;B
3733;2;22;84;244;NO;1;B
3734;2;5;29;61;NO;1;C
3735;3;43;197;293;NO;2;B
3736;5;35;180;217;NO;3;B
3737;3;17;101;230;NO;4;B
3738;1;40;140;175;NO;1;A
3739;2;18;86;144;NO;0;B
3740;3;25;95;93;NO;1;B
3741;1;9;27;59;NO;2;C
3742;2;35;183;294;NO;1;A
3743;3;28;145;266;NO;2;B
3744;2;15;56;71;NO;2;C
3745;8;42;177;217;NO;5;B
3746;1;5;14;26;NO;1;C
3747;3;32;196;375;NO;3;B
3748;3;15;75;82;NO;3;C
3749;2;39;189;285;NO;1;A
3750;5;45;211;842;NO;9;A
3751;3;26;144;458;NO;5;B
3752;4;22;121;409;NO;3;B
3753;3;31;140;214;NO;4;B
3754;3;28;128;116;NO;2;B
3755;4;34;130;160;NO;4;B
3756;2;26;118;163;NO;1;A
3757;5;19;83;215;NO;5;B
3758;2;39;187;398;NO;2;A
3759;1;26;135;236;NO;2;A
3760;3;36;241;528;NO;7;A
3761;2;27;138;327;NO;0;B
3762;4;36;123;160;NO;3;B
3763;1;6;17;44;NO;1;C
3764;3;28;122;155;NO;0;B
3765;3;47;388;684;NO;5;A
3766;1;8;19;25;NO;0;C
3767;1;8;15;72;NO;0;C
3768;3;35;143;158;NO;1;B
3769;4;26;143;179;NO;3;B
3770;4;43;280;533;NO;5;A
3771;1;43;292;416;NO;2;A
3772;1;30;166;295;NO;2;A
3773;3;35;129;273;NO;3;B
3774;2;47;272;780;NO;1;A
3775;3;25;130;230;NO;2;B
3776;3;35;218;465;NO;5;A
3777;2;31;148;198;NO;3;A
3778;1;11;27;39;NO;0;C
3779;3;43;368;677;NO;3;A
3780;3;32;160;566;NO;5;B
3781;1;30;112;288;NO;0;C
3782;1;16;73;137;NO;0;C
3783;3;30;191;565;NO;9;B
3784;2;9;30;88;NO;1;C
3785;3;20;87;93;NO;3;C
3786;4;36;175;182;NO;4;B
3787;2;29;139;226;NO;0;B
3788;2;25;74;165;NO;1;B
3789;2;28;111;184;NO;0;B
3790;1;41;254;446;NO;0;C
3791;4;25;132;142;NO;7;B
3792;5;31;173;286;NO;9;B
3793;3;24;164;264;NO;2;B
3794;4;44;184;187;NO;9;B
3795;1;19;93;131;NO;0;C
3796;2;19;64;118;NO;3;C
3797;3;20;88;169;NO;2;B
3798;2;30;135;139;NO;1;A
3799;3;14;146;212;NO;4;B
3800;2;17;105;200;NO;1;B
3801;3;24;152;287;NO;3;B
3802;1;15;57;69;NO;2;C
3803;1;9;36;110;NO;0;C
3804;2;25;158;441;NO;3;A
3805;3;38;114;288;NO;2;B
3806;4;13;44;100;NO;4;B
3807;3;35;198;576;NO;4;B
3808;1;19;74;102;NO;0;C
3809;1;16;41;68;NO;0;C
3810;1;14;65;56;NO;0;C
3811;1;31;166;337;NO;0;C
3812;3;23;83;97;NO;4;C
3813;5;30;138;139;NO;6;B
3814;2;22;76;115;NO;1;C
3815;3;43;234;284;NO;4;A
3816;1;30;140;178;NO;0;C
3817;3;26;120;161;NO;8;B
3818;3;20;91;121;NO;2;B
3819;2;19;84;104;NO;1;C
3820;3;49;273;802;NO;6;A
3821;1;22;97;95;NO;1;C
3822;1;3;6;16;NO;0;C
3823;1;28;138;333;NO;1;A
3824;3;11;59;321;NO;2;B
3825;2;6;20;10;NO;2;C
3826;3;19;58;63;NO;3;C
3827;1;13;46;55;NO;0;C
3828;2;18;61;68;NO;2;C
3829;2;23;72;237;NO;2;B
3830;1;15;49;51;NO;1;C
3831;3;37;170;168;NO;4;B
3832;3;24;62;64;NO;2;C
3833;2;20;85;84;NO;1;C
3834;3;18;84;81;NO;5;C
3835;3;18;103;191;NO;3;B
3836;1;17;68;80;NO;0;C
3837;4;23;110;118;NO;5;B
3838;2;20;68;133;NO;2;B
3839;3;40;252;370;NO;6;A
3840;1;27;81;61;NO;2;C
3841;3;17;123;208;NO;5;B
3842;1;10;14;13;NO;0;C
3843;3;19;113;288;NO;1;B
3844;1;26;115;161;NO;2;A
3845;2;41;269;523;NO;4;A
3846;1;30;163;258;NO;2;A
3847;1;6;28;63;NO;2;C
3848;2;5;18;42;NO;2;C
3849;3;32;166;207;NO;5;B
3850;1;29;129;203;NO;2;A
3851;2;21;99;104;NO;3;B
3852;1;12;31;35;NO;2;C
3853;5;15;78;109;NO;4;B
3854;1;18;45;77;NO;0;C
3855;4;23;53;49;NO;3;B
3856;1;7;43;65;NO;0;C
3857;1;31;110;166;NO;0;C
3858;2;23;110;180;NO;1;B
3859;4;34;166;155;NO;5;B
3860;4;26;127;190;NO;4;B
3861;2;14;80;76;NO;2;C
3862;1;27;65;82;NO;0;C
3863;3;22;81;96;NO;2;C
3864;2;21;119;199;NO;4;A
3865;2;36;178;451;NO;2;A
3866;1;11;33;57;NO;0;C
3867;5;26;124;191;NO;8;B
3868;4;47;258;435;NO;2;A
3869;5;34;211;702;NO;10;A
3870;3;45;351;707;NO;7;A
3871;3;41;251;364;NO;7;A
3872;3;30;172;218;NO;2;B
3873;3;31;153;243;NO;2;B
3874;2;31;167;233;NO;1;A
3875;3;32;121;128;NO;1;B
3876;3;15;99;170;NO;2;B
3877;2;52;281;1174;NO;1;A
3878;4;41;199;231;NO;7;B
3879;3;23;92;164;NO;1;B
3880;3;11;46;93;NO;3;C
3881;3;9;39;70;NO;3;C
3882;1;35;105;99;NO;1;C
3883;2;26;111;209;NO;2;A
3884;3;30;115;276;NO;3;B
3885;5;31;160;410;NO;4;B
3886;6;30;116;195;NO;8;B
3887;2;16;70;114;NO;1;C
3888;4;36;123;213;NO;4;B
3889;3;35;148;149;NO;5;B
3890;4;34;132;179;NO;2;B
3891;3;33;152;184;NO;5;B
3892;3;37;124;157;NO;4;B
3893;4;23;110;187;NO;6;B
3894;2;35;220;317;NO;4;A
3895;1;28;181;256;NO;4;A
3896;1;26;80;70;NO;4;C
3897;1;17;64;81;NO;2;C
3898;6;41;255;325;NO;12;A
3899;3;23;121;267;NO;3;B
3900;3;31;205;296;NO;2;A
3901;3;38;167;268;NO;8;B
3902;6;50;344;594;NO;10;A
3903;3;37;234;330;NO;7;A
3904;2;32;130;169;NO;1;A
3905;3;31;207;317;NO;4;A
3906;1;22;85;136;NO;1;C
3907;4;36;160;230;NO;5;B
3908;10;32;148;305;NO;21;B
3909;2;10;42;88;NO;2;C
3910;1;30;153;189;NO;0;C
3911;2;14;107;160;NO;2;B
3912;1;13;43;58;NO;0;C
3913;0;15;30;31;NO;0;C
3914;1;19;84;132;NO;0;C
3915;2;12;53;110;NO;0;C
3916;2;34;190;215;NO;3;A
3917;2;20;81;119;NO;3;C
3918;1;13;53;105;NO;0;C
3919;3;16;34;50;NO;1;C
3920;3;21;119;233;NO;1;B
3921;1;34;133;114;NO;0;C
3922;2;17;128;178;NO;3;A
3923;1;9;28;44;NO;1;C
3924;1;13;65;81;NO;1;C
3925;5;46;266;803;NO;5;A
3926;2;7;27;78;NO;0;C
3927;4;39;210;649;NO;2;A
3928;3;16;67;81;NO;2;C
3929;1;19;61;52;NO;0;C
3930;1;7;15;11;NO;0;C
3931;2;21;86;165;NO;3;B
3932;2;22;53;61;NO;3;C
3933;2;19;67;74;NO;1;C
3934;3;26;97;88;NO;6;B
3935;4;30;141;283;NO;4;B
3936;1;10;23;12;NO;0;C
3937;2;36;216;309;NO;2;A
3938;3;31;155;408;NO;9;B
3939;1;29;98;254;NO;0;C
3940;3;38;176;173;NO;7;B
3941;5;45;284;389;NO;4;A
3942;1;27;124;100;NO;0;C
3943;1;10;30;42;NO;0;C
3944;1;15;48;63;NO;0;C
3945;1;16;100;126;NO;1;C
3946;2;38;139;191;NO;1;A
3947;2;15;67;98;NO;1;C
3948;1;13;37;55;NO;0;C
3949;1;18;47;30;NO;0;C
3950;2;32;152;200;NO;2;A
3951;1;31;110;139;NO;0;C
3952;3;16;47;38;NO;3;C
3953;5;37;140;151;NO;4;B
3954;3;49;296;394;NO;2;A
3955;2;16;62;190;NO;3;B
3956;3;35;185;218;NO;3;B
3957;0;31;129;125;NO;0;C
3958;1;31;162;171;NO;0;C
3959;4;49;244;457;NO;3;A
3960;1;23;82;126;NO;2;C
3961;1;24;94;150;NO;2;C
3962;2;32;197;326;NO;2;A
3963;2;22;73;138;NO;3;B
3964;2;26;110;169;NO;2;B
3965;1;11;44;56;NO;1;C
3966;6;35;182;246;NO;8;B
3967;1;27;107;119;NO;0;C
3968;2;38;230;378;NO;3;A
3969;2;11;50;104;NO;1;C
3970;3;32;179;216;NO;3;B
3971;2;38;112;93;NO;2;A
3972;2;13;61;87;NO;1;C
3973;4;38;163;252;NO;3;B
3974;4;36;186;342;NO;4;B
3975;5;39;218;561;NO;8;A
3976;4;42;313;515;NO;5;A
3977;2;49;376;788;NO;3;A
3978;5;41;109;278;NO;5;B
3979;4;36;220;408;NO;8;A
3980;4;48;202;497;NO;9;A
3981;3;35;155;357;NO;5;B
3982;1;26;105;199;NO;0;C
3983;3;25;60;104;NO;2;C
3984;2;47;280;895;NO;5;A
3985;3;34;120;190;NO;3;B
3986;5;29;157;199;NO;6;B
3987;1;45;236;338;NO;2;A
3988;1;27;162;191;NO;4;A
3989;3;21;92;210;NO;2;B
3990;1;26;91;123;NO;4;C
3991;3;39;228;344;NO;3;A
3992;4;41;211;278;NO;4;A
3993;4;39;253;391;NO;5;A
3994;1;11;34;35;NO;0;C
3995;3;38;229;376;NO;3;A
3996;5;44;249;432;NO;9;A
3997;3;34;182;284;NO;8;B
3998;3;25;109;181;NO;5;B
3999;3;41;168;352;NO;3;B
4000;4;34;222;370;NO;5;A
4001;2;20;78;129;NO;2;B
4002;4;34;138;346;NO;3;B
4003;2;15;69;82;NO;6;C
4004;5;22;63;55;NO;5;B
4005;3;12;52;58;NO;1;C
4006;4;21;80;95;NO;3;B
4007;3;36;226;399;NO;2;A
4008;3;41;234;438;NO;3;A
4009;1;23;103;190;NO;3;C
4010;5;47;301;640;NO;6;A
4011;1;22;94;180;NO;2;C
4012;4;44;253;581;NO;2;A
4013;2;18;63;62;NO;1;C
4014;3;45;239;402;NO;1;A
4015;3;38;220;537;NO;2;A
4016;2;43;244;630;NO;2;A
4017;1;2;5;20;NO;0;C
4018;3;45;269;359;NO;4;A
4019;3;20;70;151;NO;3;B
4020;2;44;274;395;NO;2;A
